tribunal_id,juez_id,cargo,situacion
100,58,Juez Subrogante,Efectivo
101,96,Juez Subrogante,Efectivo
102,238,Juez,Efectivo
103,233,Juez,Efectivo
104,155,Juez,Efectivo
105,330,Juez,Efectivo
107,58,Juez,Efectivo
108,177,Juez,Efectivo
109,237,Juez Subrogante,Efectivo
130,31,Juez,Efectivo
132,476,Juez,Interino
133,290,Juez,Efectivo
134,53,Juez,Efectivo
135,64,Juez,Interino
136,8,Juez,Efectivo
137,2,Juez,Efectivo
138,110,Juez,Efectivo
139,183,Juez,Efectivo
140,165,Juez,Efectivo
141,57,Secretario,Efectivo
141,376,Secretario,Interino
142,150,Secretario,Interino
142,204,Secretario,Contratado
142,351,Secretario,Interino
143,413,Secretario,Efectivo
144,56,Secretario,Efectivo
144,76,Secretario,Efectivo
146,285,Secretario,Efectivo
147,425,Secretario,Efectivo
148,9,Secretario,Efectivo
148,147,Secretario,Efectivo
148,464,Secretario,Efectivo
149,249,Secretario,Interino
149,441,Secretario,Efectivo
150,481,Secretario,Contratado
151,294,Secretario,Interino
152,304,Secretario,Contratado
152,319,Secretario,Efectivo
152,397,Secretario,Efectivo
153,228,Secretario,Efectivo
154,277,Secretario,Efectivo
154,385,Secretario,Efectivo
155,190,Secretario,Efectivo
155,377,Secretario,Efectivo
156,85,Secretario,Adscripto
156,355,Secretario,Efectivo
157,116,Secretario,Adscripto
157,335,Secretario,Efectivo
157,471,Secretario,Contratado
158,298,Secretario,Efectivo
158,359,Secretario,Efectivo
158,401,Secretario,Efectivo
159,42,Secretario,Efectivo
159,95,Secretario,Efectivo
160,34,Secretario,Efectivo
160,178,Secretario,Efectivo
161,422,Secretario,Efectivo
161,439,Secretario,Interino
162,72,Secretario,Efectivo
162,250,Secretario,Efectivo
163,168,Secretario,Interino
163,468,Secretario,Efectivo
164,414,Secretario,Efectivo
165,223,Secretario,Efectivo
165,477,Secretario,Efectivo
166,6,Secretario,Efectivo
167,272,Secretario,Efectivo
167,488,Secretario,Efectivo
168,5,Secretario,Efectivo
168,452,Secretario,Efectivo
169,134,Secretario,Efectivo
169,293,Secretario,Efectivo
170,256,Secretario,Efectivo
170,362,Secretario,Efectivo
171,436,Secretario,Efectivo
171,482,Secretario,Efectivo
172,158,Secretario,Efectivo
172,498,Secretario,Contratado
173,196,Secretario,Efectivo
174,275,Secretario,Efectivo
175,135,Secretario,Efectivo
175,391,Secretario,Efectivo
176,82,Secretario,Efectivo
176,164,Secretario,Interino
177,206,Secretario,Efectivo
177,332,Secretario,Efectivo
178,81,Secretario,Efectivo
179,1,Secretario,Interino
180,114,Secretario,Efectivo
181,83,Secretario,Efectivo
181,93,Secretario,Interino
182,18,Secretario,Efectivo
183,456,Secretario,Efectivo
184,378,Secretario,Efectivo
184,398,Secretario,Efectivo
185,149,Secretario,Efectivo
185,374,Secretario,Efectivo
186,67,Secretario,Efectivo
186,169,Secretario,Interino
187,46,Secretario,Efectivo
188,244,Secretario,Efectivo
189,480,Secretario,Interino
190,487,Secretario,Efectivo
191,207,Secretario,Efectivo
191,392,Secretario,Interino
192,248,Secretario,Efectivo
192,368,Secretario,Efectivo
193,26,Secretario,Interino
193,208,Secretario,-
194,27,Secretario,Efectivo
194,63,Secretario,Interino
195,245,Secretario,Efectivo
195,340,Secretario,Efectivo
196,314,Secretario,Efectivo
197,235,Secretario,Efectivo
197,338,Secretario,Contratado
197,367,Secretario,Efectivo
198,380,Secretario,Contratado
199,90,Secretario,Contratado
199,99,Secretario,Efectivo
199,128,Secretario,Efectivo
200,144,Secretario,Interino
200,379,Secretario,Contratado
200,475,Secretario,Efectivo
201,219,Secretario,Efectivo
201,461,Secretario,Efectivo
202,107,Secretario,Efectivo
202,459,Secretario,Interino
203,287,Secretario,Efectivo
204,308,Secretario,Contratado
204,406,Secretario,Efectivo
205,339,Secretario,Contratado
205,404,Secretario,Contratado
206,396,Secretario,Efectivo
207,337,Secretario,Efectivo
208,77,Secretario,Efectivo
208,181,Secretario,Efectivo
209,197,Secretario,Efectivo
209,211,Secretario,Efectivo
210,312,Secretario,Efectivo
210,333,Secretario,Efectivo
211,324,Secretario,Efectivo
211,369,Secretario,Efectivo
212,29,Secretario,Efectivo
212,348,Secretario,Efectivo
213,253,Secretario,Efectivo
213,276,Secretario,Interino
214,20,Secretario,Efectivo
214,321,Secretario,Efectivo
215,123,Secretario,Efectivo
215,247,Secretario,Efectivo
216,75,Secretario,Efectivo
216,302,Secretario,Efectivo
216,415,Secretario,Efectivo
217,282,Secretario,Efectivo
217,431,Secretario,Efectivo
218,292,Secretario,Efectivo
218,423,Secretario,Interino
219,212,Secretario,Efectivo
219,453,Secretario,Efectivo
220,15,Secretario,Efectivo
220,210,Secretario,Efectivo
221,12,Secretario,Efectivo
221,388,Secretario,Efectivo
222,225,Secretario,Efectivo
222,336,Secretario,Efectivo
223,486,Secretario,Efectivo
224,420,Secretario,Efectivo
225,217,Secretario,Efectivo
225,242,Secretario,Efectivo
226,51,Secretario,Efectivo
226,100,Secretario,Efectivo
227,227,Secretario,Efectivo
227,363,Secretario,Efectivo
228,45,Secretario,Efectivo
228,356,Secretario,Efectivo
228,424,Secretario,Efectivo
229,393,Coordinador,Efectivo
230,10,Vocal,Efectivo
230,25,Vicepresidente,Efectivo
230,52,Secretario,Efectivo
230,129,Vocal,Efectivo
230,148,Secretario,Efectivo
230,188,Presidente,Efectivo
230,342,Secretario,Efectivo
230,412,Secretario,Efectivo
232,70,Secretario,Efectivo
232,118,Presidente,Efectivo
232,127,Vicepresidente,Subrogante
233,11,Secretario,Efectivo
233,24,Presidente,Efectivo
233,30,Secretario,Contratado
233,246,Vicepresidente,Efectivo
233,268,Secretario,Contratado
233,315,Secretario,Contratado
233,383,Secretario,Efectivo
234,25,Vocal,Efectivo
234,50,Vicepresidente,Efectivo
234,73,Presidente,Efectivo
234,103,Secretario,Efectivo
234,145,Secretario de Cámara,Efectivo
234,467,Secretario,Efectivo
235,55,Secretario,Efectivo
235,97,Secretario de Derechos Humanos,Efectivo
235,124,Secretario,Efectivo
235,131,Secretario,Efectivo
235,133,Secretario,Contratado
235,184,Secretario,Contratado
235,205,Vicepresidente,Efectivo
235,222,Secretario,Efectivo
235,267,Secretario,Efectivo
235,279,Juez Subrogante,Subrogante
235,352,Secretario,Efectivo
235,429,Secretario,Efectivo
235,434,Presidenta,Efectivo
237,106,Vocal,Subrogante
237,129,Vocal,Efectivo
237,157,Secretario,Efectivo
237,194,Secretario,Efectivo
237,199,Secretario,Efectivo
237,205,Presidente,Efectivo
237,226,Secretario,Contratado
237,259,Secretario,Subrogante
237,450,Secretario,Efectivo
237,466,Secretario,Efectivo
238,50,Vicepresidente 1ro.,Efectivo
238,61,Presidente,Efectivo
238,185,Vicepresidente 2do.,Efectivo
238,191,Secretario,Contratado
238,258,Secretario,Interino
